"Simple_LR","ARIMA","Random_Forest","Actual_Price","Date"
8065.23346040095,7769.5,9542.07952777778,8437,2024-03-04
8078.70980276962,7764.5,9539.91022222222,8394,2024-03-01
7953.98899537173,7716,9515.74020833333,8389,2024-02-29
7948.01854257933,7772,9518.73243055555,8340.5,2024-02-28
7952.80530805902,7748.5,9542.86341666667,8396.5,2024-02-27
7891.51507499072,7818,9515.74020833333,8373,2024-02-26
7864.8426698878,7857.5,9515.13395833333,8442.5,2024-02-23
7941.19006297111,7847.5,9542.07952777778,8482,2024-02-22
7913.63668170767,7742,9515.74020833333,8472,2024-02-21
7913.40579649946,7740,9515.74020833333,8366.5,2024-02-20
NA,7697.5,NA,8364.5,2024-02-19
7935.26296792536,7528.5,9542.07952777778,8322,2024-02-16
7882.52068297389,7509,9515.74020833333,8153,2024-02-15
7811.50345939446,7560.5,9515.13395833333,8133.5,2024-02-14
7848.94499440892,7461,9515.74020833333,8185,2024-02-13
7812.34151477544,7467,9515.13395833333,8085.5,2024-02-12
7842.03821521003,7577.5,9515.13395833333,8091.5,2024-02-09
7824.04557933231,7656,9515.13395833333,8202,2024-02-08
7732.4667213132,7655.5,9497.02995833333,8280.5,2024-02-07
7718.89858156571,7704.5,9487.37606944444,8280,2024-02-06
7691.91453158102,7775.5,8744.47668055556,8329,2024-02-05
7659.97834492545,7812.5,7926.07205555555,8400,2024-02-02
7744.20441681277,7888.5,9515.13395833333,8437,2024-02-01
7848.91767539318,7837.5,9515.13395833333,8513,2024-01-31
7930.82735323002,7796.5,9515.74020833333,8462,2024-01-30
7864.59391722042,7822.5,9515.13395833333,8421,2024-01-29
7895.53052914788,7861.5,9515.74020833333,8447,2024-01-26
7861.70608791551,7835.5,9515.13395833333,8486,2024-01-25
7758.09786094991,7659,9515.13395833333,8460,2024-01-24
7723.30993601504,7630,9515.13395833333,8283.5,2024-01-23
7759.06047071821,7650.5,9515.13395833333,8254.5,2024-01-22
7686.95433511475,7564.5,9324.09823611111,8275,2024-01-19
7722.97061601028,7605.5,9497.02995833333,8189,2024-01-18
7647.82950347714,7655.5,8679.37676388889,8230,2024-01-17
7621.44754177971,7614,7552.57386111111,8280,2024-01-16
NA,7664.5,NA,8238.5,2024-01-15
7688.61337149188,7707.5,8740.82572222222,8289,2024-01-12
7646.37490722669,7660.5,7236.55426388888,8332,2024-01-11
7634.01173712806,7677,7058.47648611111,8285,2024-01-10
7629.56008370181,7670.5,7265.32826388888,8301.5,2024-01-09
7581.8281827172,7722,6606.73702777778,8295,2024-01-08
7702.17984423082,7750.5,9491.85454166666,8346.5,2024-01-05
7633.32170330606,7756.5,7264.77709722222,8375,2024-01-04
7679.56371008895,7805.5,8757.04654166667,8381,2024-01-03
7579.00237169247,7851.5,6593.01445833333,8430,2024-01-02
7624.24182583739,7905.5,7194.84243055555,8476,2023-12-29
7669.1113069447,7887,7230.93079166666,8530,2023-12-28
7766.71334619955,7874.5,9497.02995833333,8511.5,2023-12-27
7830.93992906478,7835.5,9515.13395833333,8499,2023-12-26
7736.56503911959,7842,8810.04191666666,8460,2023-12-22
7749.30703512555,7814.5,9324.09823611111,8466.5,2023-12-21
7731.78597732804,7798.5,9487.37606944444,8439,2023-12-20
7712.35450868339,7846.5,8748.79779166667,8423,2023-12-19
7657.39743472404,7837,7236.55426388888,8471,2023-12-18
7586.92063725893,7580.5,6606.73702777778,8461.5,2023-12-15
7589.03382122419,7647.5,6697.84295833333,8205,2023-12-14
7503.86125915934,7651,6603.49155555556,8272,2023-12-13
7453.65863063828,7723.5,6675.82151388889,8275.5,2023-12-12
7562.34231862065,7596.5,6598.07401388889,8348,2023-12-11
7570.72358464497,7672.5,6593.03445833333,8221,2023-12-08
7430.01874238214,7634.5,6608.97725,8297,2023-12-07
7423.76765384806,7792.5,6608.97725,8259,2023-12-06
7563.76844667377,7831.5,7194.94951388889,8417,2023-12-05
7623.93998861941,7707.5,7931.09955555555,8456,2023-12-04
7706.51587699934,7759.5,9362.40994444444,8332,2023-12-01
7792.52859842084,7653.5,9515.13395833333,8384,2023-11-30
7859.14602308316,7656.5,9515.13395833333,8278,2023-11-29
7803.65701977198,7675.5,9515.13395833333,8281,2023-11-28
7794.72079419126,7683,9515.13395833333,8300,2023-11-27
7768.86226508317,7671.5,9515.13395833333,8307.5,2023-11-24
NA,7699.5,NA,8296,2023-11-23
7844.77468893884,7622.5,9515.13395833333,8324,2023-11-22
7876.08845976508,7516.5,9515.74020833333,8247,2023-11-21
7853.2929388169,7541,9515.13395833333,8141,2023-11-20
7759.03077247943,7544.5,9515.13395833333,8165.5,2023-11-17
7642.72092934464,7456.5,9303.40136111111,8169,2023-11-16
7810.3537591317,7390,9515.13395833333,8081,2023-11-15
7858.08057823079,7381.5,9515.74020833333,8014.5,2023-11-14
7848.66015071592,7406,9515.74020833333,8006,2023-11-13
NA,7463.5,NA,8030.5,2023-11-10
7714.35390071919,7443.5,9515.13395833333,8088,2023-11-09
7696.15718082203,7512,9515.13395833333,8068,2023-11-08
7765.7487941753,7446,9515.13395833333,8136.5,2023-11-07
7903.2848152843,7441.5,9525.32998611111,8070.5,2023-11-06
7929.48774628266,7416.5,9536.64604166667,8066,2023-11-03
7993.44647897987,7413.5,9527.78605555555,8041,2023-11-02
7928.23258913322,7485.5,9539.91022222222,8038,2023-11-01
7972.93372113947,7339,9521.67943055556,8110,2023-10-31
8046.17764536623,7314.5,9527.78605555555,7963.5,2023-10-30
8167.99152595859,7321.5,9571.27519444444,7939,2023-10-27
8064.18814870314,7276,9532.89586111111,7946,2023-10-26
8170.30581603342,7200,9571.27519444444,7900.5,2023-10-25
8120.89272240132,7251.5,9543.21198611111,7824.5,2023-10-24
8138.61750811102,7313.5,9552.89630555556,7876,2023-10-23
8292.93690663771,7323,9534.04426388889,7938,2023-10-20
8299.72246546639,7222,9533.48301388889,7947.5,2023-10-19
8245.64978254453,7295.5,9506.46393055555,7846.5,2023-10-18
8174.94420384688,7266.5,9560.75269444445,7920,2023-10-17
8195.31699992368,7370.5,9560.75269444445,7891,2023-10-16
8221.22790136786,7319,9538.71175,7995,2023-10-13
7999.63590534102,7283,9527.78605555555,7943.5,2023-10-12
7993.38358676548,7391,9533.16469444444,7907.5,2023-10-11
8085.53983585872,7262.5,9570.52923611111,8015.5,2023-10-10
NA,7188,NA,7887,2023-10-09
7888.38933633614,7286,9527.78605555555,7812.5,2023-10-06
7871.17309366647,7335.5,9513.94276388889,7910.5,2023-10-05
7942.42505429818,7476,9542.37448611111,7960,2023-10-04
8140.23299235397,7606,9533.56168055555,8100.5,2023-10-03
8096.401798803,7487.5,9558.58825,8230.5,2023-10-02
8163.28199174782,7392.5,9397.57186111111,8112,2023-09-29
8204.88735858566,7441.5,9331.42801388888,8017,2023-09-28
8300.15128448676,7482.5,9352.47144444444,8066,2023-09-27
8211.37143630361,7563.5,9356.86584722222,8107,2023-09-26
8160.56286765123,7476.5,9494.00136111111,8188,2023-09-25
8190.3420756278,7652.5,9466.0558611111,8101,2023-09-22
8187.2594521403,7609,9503.05829166666,8277,2023-09-21
8208.92437032636,7695.5,9533.65476388889,8233.5,2023-09-20
8314.58324515009,7752,9355.04259722222,8320,2023-09-19
8339.4392216202,7798.5,9354.91275,8376.5,2023-09-18
8304.27798963062,7728.5,9362.55861111111,8423,2023-09-15
8309.55876470826,7713,9466.0558611111,8353,2023-09-14
8226.28426488399,7708,9514.94588888889,8337.5,2023-09-13
8237.91142161135,7600.5,9543.07426388889,8332.5,2023-09-12
8161.31106790934,7618,9557.298125,8225,2023-09-11
8153.11391446961,7770.5,9536.73077777778,8242.5,2023-09-08
8125.2718376691,7805.5,9556.70345833333,8395,2023-09-07
8157.78331142316,7781.5,9536.73077777778,8430,2023-09-06
8138.57037938016,7890.5,9560.75269444445,8406,2023-09-05
NA,7735,NA,8515,2023-09-04
8080.19565073974,7770,9562.16998611111,8359.5,2023-09-01
7997.86291531471,7750.5,9533.16469444444,8394.5,2023-08-31
7926.7074778401,7757,9521.67943055556,8375,2023-08-30
7918.93207108724,7734,9536.64604166667,8381.5,2023-08-29
7902.27622596673,7753,9540.87088888889,8358.5,2023-08-28
7895.13181266556,7717.5,9541.32666666667,8377.5,2023-08-25
7852.83466413731,7615,9542.07952777778,8342,2023-08-24
7835.78168868318,7551.5,9515.74020833333,8239.5,2023-08-23
7883.12539306376,7590.5,9542.25708333333,8176,2023-08-22
7879.36166948385,7507.5,9540.87088888889,8215,2023-08-21
7893.66836354537,7502,9536.64604166667,8132,2023-08-18
7867.73451275649,7617.5,9542.25708333333,8126.5,2023-08-17
7824.83019405546,7617.5,9518.73243055555,8242,2023-08-16
7867.66864263224,7799,9539.91022222222,8242,2023-08-15
7925.59438642991,7770.5,9522.19209722222,8423.5,2023-08-14
7945.99187971983,7651.5,9533.05177777778,8395,2023-08-11
7928.87811602698,7870.5,9527.78605555555,8276,2023-08-10
8011.76739715709,7826,9543.00198611111,8495,2023-08-09
7960.13653660726,7847.5,9527.78605555555,8450.5,2023-08-08
7928.53494417815,7920.5,9521.67943055556,8472,2023-08-07
7967.05260564298,8096,9527.78605555555,8545,2023-08-04
7918.52434001548,8011,9525.32998611111,8720.5,2023-08-03
7832.33048391925,7967.5,9542.07952777778,8635.5,2023-08-02
7924.49777071774,7954,9532.24743055556,8592,2023-08-01
7955.91437662805,7909.5,9521.67943055556,8578.5,2023-07-31
7910.1204807537,7972.5,9541.32666666667,8534,2023-07-28
7884.44431636179,7805.5,9542.25708333333,8597,2023-07-27
7846.93008146916,7797.5,9515.74020833333,8430,2023-07-26
7879.69538977613,7918.5,9543.38952777778,8422,2023-07-25
7877.97461036621,7729.5,9515.74020833333,8543,2023-07-24
7790.95548446265,7785.5,9515.13395833333,8354,2023-07-21
7686.03603788715,7836,9515.13395833333,8410,2023-07-20
7706.64182314782,8026.5,9515.13395833333,8460.5,2023-07-19
7713.61149456109,7960.5,9515.13395833333,8651,2023-07-18
7643.47226923233,7742.5,9497.02995833333,8585,2023-07-17
7678.69603732904,7746.5,9515.13395833333,8367,2023-07-14
7745.13740920215,7661.5,9515.13395833333,8371,2023-07-13
7711.0871646471,7674.5,9515.13395833333,8286,2023-07-12
7672.47595793505,7655.5,9515.13395833333,8299,2023-07-11
7563.06439723666,7626.5,8756.83654166667,8280,2023-07-10
7610.23204882803,7724.5,9487.37606944444,8251,2023-07-07
7517.2237287387,7730.5,7171.47623611111,8349,2023-07-06
7515.38522469539,7585.5,7181.89923611111,8355,2023-07-05
NA,7541,NA,8210,2023-07-04
7387.15873622182,7643.5,6600.52836111111,8165.5,2023-07-03
7429.84110344423,7742.5,6593.01445833333,8268,2023-06-30
7373.13355183619,7812.5,6594.65263888889,8367,2023-06-29
7374.85766526322,7865.5,6600.60336111111,8437,2023-06-28
7303.85699824166,8046,6687.26508333333,8490,2023-06-27
7358.63381146048,7865.5,6603.49155555556,8670.5,2023-06-26
7350.78316388669,7940.5,6608.97725,8490,2023-06-23
7349.31586292243,7917.5,6603.16155555556,8565,2023-06-22
7486.3990473446,7936.5,7508.15938888888,8542,2023-06-21
7419.5107946044,7854.5,6598.15130555556,8561,2023-06-20
NA,7832.5,NA,8479,2023-06-19
7464.41092874456,7797,7186.46076388889,8457,2023-06-16
7405.22494591193,7662.5,6593.01445833333,8421.5,2023-06-15
7329.78445624372,7743.5,6680.72688888889,8287,2023-06-14
7383.57439944823,7618.5,6600.22544444445,8368,2023-06-13
7316.76646941449,7727.5,6689.28166666667,8243,2023-06-12
7455.8365355462,7686.5,6595.67826388889,8352,2023-06-09
7494.57658545674,7640.5,6697.55129166667,8311,2023-06-08
7547.26062311224,7712.5,7280.67005555555,8265,2023-06-07
7521.62737949988,7586,7171.01373611111,8337,2023-06-06
7526.84911420721,7392.5,7236.55426388888,8210.5,2023-06-05
7524.79969639054,7497.5,7171.47623611111,8017,2023-06-02
7462.78492462332,7457.5,6595.67826388889,8122,2023-06-01
7379.63795709622,7297.5,6682.12483333334,8082,2023-05-31
7411.18769501619,7285.5,6600.22544444445,7922,2023-05-30
7565.26342276101,7336.5,7264.77709722222,7910,2023-05-26
7527.27427577105,7469.5,7172.44656944444,7961,2023-05-25
7636.6437896241,7597.5,9515.13395833333,8094,2023-05-24
7605.54899236662,7547,8740.82572222222,8222,2023-05-23
7542.8671361221,7551.5,7186.46076388889,8171.5,2023-05-22
7526.15050276286,7451.5,7058.47648611111,8176,2023-05-19
7514.59735681499,7662.5,7186.46076388889,8076,2023-05-18
7558.02975302378,7615.5,8659.182125,8287,2023-05-17
7477.28466499902,7642.5,6593.03445833333,8240,2023-05-16
7461.04171369565,7844.5,6606.73702777778,8267,2023-05-15
7441.29133344819,7958.5,6595.67826388889,8469,2023-05-12
7487.51039088638,7863.5,6593.03445833333,8583,2023-05-11
7564.38244660048,7914.5,7347.67472222222,8488,2023-05-10
7618.72683153443,7861.5,9324.09823611111,8539,2023-05-09
7566.62491073134,7948.5,8757.92556944445,8486,2023-05-08
7520.04779189501,7946.5,6699.437625,8573,2023-05-05
7409.81131749654,7841,6614.375125,8571,2023-05-04
7452.10969606625,7954.5,6610.56066666667,8465.5,2023-05-03
7586.98615127593,7896.5,7171.01373611111,8579,2023-05-02
7756.91627761286,8138,9515.13395833333,8521,2023-05-01
7826.71022711714,8191.5,9515.13395833333,8762.5,2023-04-28
7747.92609354734,8250.5,9515.13395833333,8816,2023-04-27
7716.59409915468,8250.5,9515.13395833333,8875,2023-04-26
7822.49962267014,8341.5,9515.13395833333,8875,2023-04-25
7930.39028002673,8360.5,9515.74020833333,8966,2023-04-24
7872.91526894022,8457.5,9515.13395833333,8985,2023-04-21
7830.01182417339,8377,9515.13395833333,9082,2023-04-20
7872.01904712313,8178.5,9515.74020833333,9001.5,2023-04-19
7952.52431621009,8213,9539.91022222222,8803,2023-04-18
7955.828017242,8211.5,9539.91022222222,8837.5,2023-04-17
8011.07807554959,8155.5,9526.43355555556,8836,2023-04-14
8003.58882339104,8305.5,9513.94276388889,8780,2023-04-13
8045.0020178489,8341.5,9533.99948611111,8930,2023-04-12
7959.26993216909,8310.5,9525.32998611111,8966,2023-04-11
7920.78836172988,8414,9542.86341666667,8935,2023-04-10
7944.67664654616,8427.5,9540.87088888889,9038.5,2023-04-06
7960.04159959886,8309.5,9540.87088888889,9052,2023-04-05
7939.79720975345,8251.5,9540.87088888889,8934,2023-04-04
7937.19930602707,8302.5,9542.25708333333,8876,2023-04-03
7784.91181396511,8292.5,9515.13395833333,8927,2023-03-31
7687.53049614743,8256,9497.02995833333,8917,2023-03-30
7620.92287914891,8199.5,8740.82572222222,8880.5,2023-03-29
7608.05632875563,8052.5,8757.92556944445,8824,2023-03-28
7626.60761431411,7996.5,8740.82572222222,8677,2023-03-27
7481.57428125118,7910.5,6603.16155555556,8621,2023-03-24
7506.83929969436,7900.5,6600.52836111111,8535,2023-03-23
7497.98697341678,8280.5,6593.01445833333,8525,2023-03-22
7422.65368850367,8026.5,6600.22544444445,8905,2023-03-21
7358.22512559466,8130.5,6688.84783333333,8651,2023-03-20
7300.26241683717,8183.5,6688.27054166667,8755,2023-03-17
7374.80529292713,8185.5,6682.053,8808,2023-03-16
7339.20313589018,8199.5,6689.68333333333,8810,2023-03-15
7541.00691277554,8194.5,6697.84295833333,8824,2023-03-14
7706.05672838555,8320.5,9515.13395833333,8819,2023-03-13
7726.31652560724,8271.5,9515.13395833333,8945,2023-03-10
7674.9025346505,8442,9515.13395833333,8896,2023-03-09
7769.2480016043,8219.5,9515.13395833333,9066.5,2023-03-08
7795.23160292666,8126.5,9515.13395833333,8844,2023-03-07
7856.51639800219,8182.5,9542.25708333333,8751,2023-03-06
7834.26848902951,8435.5,9542.07952777778,8807,2023-03-03
7719.14626591136,8496.5,9515.13395833333,9060,2023-03-02
7705.74437128928,8479,9515.13395833333,9121,2023-03-01
7612.83817406951,7812.5,9514.46979166666,9103.5,2023-02-28
7514.77698620087,7769.5,9533.54744444444,9015,2023-02-27
7520.83082046946,7764.5,9577.29994444444,8871,2023-02-24
7482.73026077309,7716,9577.29994444444,8892,2023-02-23
7470.9580603966,7772,9486.09648611111,8826,2023-02-22
7570.91818444003,7748.5,9514.60395833333,8931.5,2023-02-21
NA,7818,NA,8912,2023-02-20
7560.39185137615,7857.5,9526.62673611111,8905,2023-02-17
7641.02937853857,7847.5,9534.15369444444,8953.5,2023-02-16
7631.02560412983,7742,9577.58230555555,9006,2023-02-15
7632.74550960555,7740,9612.88291666666,8865,2023-02-14
7690.54792905735,7697.5,9604.42306944444,8891.5,2023-02-13
7692.00629629202,7528.5,9561.80301388889,9060,2023-02-10
7630.88739023465,7509,9527.03506944444,9114,2023-02-09
7659.60746528582,7560.5,9515.21020833333,9175,2023-02-08
7600.30455089415,7461,9514.60395833333,9075,2023-02-07
7459.58859006622,7467,9514.39294444444,9227,2023-02-06
7431.18313780668,7577.5,9278.60844444444,9345.5,2023-02-03
7527.13376351268,7656,9533.54744444444,9288.5,2023-02-02
7572.72182749918,7655.5,9514.60395833333,9258,2023-02-01
7681.997796105,7704.5,9515.21020833333,9308,2023-01-31
7653.95076135085,7775.5,9514.60395833333,9340.5,2023-01-30
7733.82293301048,7812.5,9542.72536111111,9232,2023-01-27
7787.2446510458,7888.5,9540.87088888889,9190,2023-01-26
7743.03034277633,7837.5,9542.19925,9436,2023-01-25
7739.40010731333,7796.5,9543.77258333333,9114,2023-01-24
7810.66906147001,7822.5,9524.79998611111,9145.5,2023-01-23
7864.22251975383,7861.5,9536.64604166667,9107,2023-01-20
7837.80394920383,7835.5,9542.25708333333,9071.5,2023-01-19
7806.5238093203,7659,9542.07952777778,8987,2023-01-18
7828.93796341839,7630,9542.25708333333,8766.5,2023-01-17
NA,7650.5,NA,8722,2023-01-16
7832.79821015539,7564.5,9544.43675,8362.5,2023-01-13
7781.32168309151,7605.5,9515.74020833333,8420,2023-01-12
7735.18128135123,7655.5,9515.13395833333,8209,2023-01-11
7625.50310052627,7614,9515.13395833333,8390,2023-01-10
7597.212038883,7664.5,9515.13395833333,8387,2023-01-09
7552.22133740548,7707.5,9459.98990277778,8395,2023-01-06
7523.65646977447,7660.5,9324.09823611111,8451,2023-01-05
7490.02122301222,7677,8710.65881944444,8308.5,2023-01-04
7667.23862146391,7670.5,9515.13395833333,8345.5,2023-01-03
7821.22465580557,7722,9542.25708333333,8327,2022-12-30
7749.31664840182,7750.5,9515.74020833333,8302,2022-12-29
7739.6462381781,7756.5,9515.74020833333,8331,2022-12-28
7738.11814897511,7805.5,9524.00631944444,8231.5,2022-12-27
7740.18456031676,7851.5,9541.45202777778,8383,2022-12-23
7660.77030722949,7905.5,9515.13395833333,8415,2022-12-22
7671.3910594748,7887,9515.07604166667,8381,2022-12-21
7537.49682936101,7874.5,9532.49694444444,8371.5,2022-12-20
7523.79940944793,7835.5,9514.60395833333,8490.5,2022-12-19
7470.33985251858,7842,9496.49995833333,8537,2022-12-16
7530.04629003069,7814.5,9533.54744444444,8334,2022-12-15
7571.34596780649,7798.5,9568.5955,8355.5,2022-12-14
7498.15687599873,7846.5,9568.5955,8440,2022-12-13
7378.66411523514,7837,8801.36820833333,8342,2022-12-12
7306.09620921526,7580.5,6606.73702777778,8216.5,2022-12-09
7299.61510940718,7647.5,6702.096125,8198,2022-12-08
7319.58061137932,7651,7213.37211111111,8035.5,2022-12-07
7405.96751378974,7723.5,9587.52940277777,7966,2022-12-06
7557.01930231013,7596.5,9576.97605555555,8070,2022-12-05
7687.01036490738,7672.5,9606.27884722222,7990.5,2022-12-02
7702.92344776254,7634.5,9642.756875,7962,2022-12-01
7681.25082588834,7792.5,9650.61831944444,7996,2022-11-30
7557.21707440259,7831.5,9581.64316666666,7900.5,2022-11-29
7559.99944682081,7707.5,9577.29994444444,8047,2022-11-28
7540.84519904087,7759.5,9576.97605555555,8155,2022-11-25
NA,7653.5,NA,8315,2022-11-24
7585.33506116651,7656.5,9579.10516666666,8343,2022-11-23
7697.93557617328,7675.5,9649.201875,8346,2022-11-22
7646.67889661236,7683,9649.42951388889,8441,2022-11-21
7640.80496697705,7671.5,9527.509625,8065,2022-11-18
7708.89267051349,7699.5,9425.91629166667,8035,2022-11-17
7913.83390330535,7622.5,9655.18325,7974,2022-11-16
7974.65132825199,7516.5,9619.52515277778,7954.5,2022-11-15
7859.88331468791,7541,9150.94669444445,7905,2022-11-14
8005.90816268357,7544.5,9154.60819444445,7510,2022-11-11
7863.45959166611,7456.5,8903.89188888889,7705,2022-11-10
7849.7332665886,7390,9157.30744444445,7745,2022-11-09
7978.86630237002,7381.5,8787.32259722223,7525,2022-11-08
8096.78420130701,7406,7625.93065277777,7663.5,2022-11-07
8122.92809193506,7463.5,7539.07781944444,7777,2022-11-04
7932.0609201281,7443.5,7862.87018055556,7762.5,2022-11-03
8033.43561669244,7512,7748.41536111111,7536,2022-11-02
7971.54627324675,7446,8487.85466666667,7661,2022-11-01
7909.90183062437,7441.5,9171.12736111111,7545,2022-10-31
7967.38664937468,7416.5,8694.12844444445,7585.5,2022-10-28
8019.42567796338,7413.5,8578.03165277778,7420,2022-10-27
8023.95265307043,7485.5,7862.28677777779,7536,2022-10-26
7898.25557639637,7339,9073.12409722223,7715,2022-10-25
7812.14299780067,7314.5,8514.01723611111,7688,2022-10-24
7787.21046960831,7321.5,8279.32045833333,7663,2022-10-21
7765.22199490102,7276,8232.85863888889,7625.5,2022-10-20
7759.3561250611,7200,8189.92425,7587,2022-10-19
7584.41184377311,7251.5,8324.10904166666,7655,2022-10-18
7725.20006751212,7313.5,8299.07447222222,7575.5,2022-10-17
7729.10498289708,7323,8300.17302777778,7744,2022-10-14
7867.27410143342,7222,8117.61997222222,7661,2022-10-13
7797.03239712783,7295.5,8331.95319444444,7596,2022-10-12
7906.1114675754,7266.5,7773.46065277778,7524,2022-10-11
7990.101572369,7370.5,7540.88754166668,7647,2022-10-10
8038.78504541666,7319,7875.03588888889,7660.5,2022-10-07
7854.87861129339,7283,8338.41158333333,7353,2022-10-06
7828.53063664591,7391,8101.10761111111,7475,2022-10-05
7745.57461145734,7262.5,8740.27133333334,7449,2022-10-04
7621.25426841017,7188,8332.14848611111,7446,2022-10-03
7471.37846351435,7145,9150.47355555555,7815,2022-09-30
7562.13328176758,7140,8974.34573611111,7761.5,2022-09-29
7578.3520536848,7091.5,8717.10261111111,7796,2022-09-28
7455.69924377725,7147.5,9059.76594444445,7772,2022-09-27
7381.69294195755,7124,9026.22793055556,7792,2022-09-26
7474.12001912868,7193.5,9099.42029166667,7806,2022-09-23
7672.61378305516,7233,8468.34233333334,7865,2022-09-22
7688.94344985183,7223,8732.68281944444,8230,2022-09-21
7759.91092289778,7117.5,8923.71861111111,8026,2022-09-20
7822.54688045289,7115.5,8867.392125,7985,2022-09-19
7810.11950723856,7073,8690.98291666667,7906,2022-09-16
7779.9589324119,6904,8351.67741666666,7730,2022-09-15
7877.00529989586,6884.5,8275.11575,7707,2022-09-14
7828.02209360588,6936,8568.14593055556,7652.5,2022-09-13
7844.4062367143,6836.5,8028.42645833334,7587,2022-09-12
7761.96471038548,6842.5,8717.75006944444,7702,2022-09-09
7619.79800515116,6953,8327.78995833333,7721,2022-09-08
7582.2361237007,7031.5,8744.22597222222,7910.5,2022-09-07
7823.0512155416,7031,8263.03094444444,8315,2022-09-06
NA,7080,NA,8155,2022-09-05
7807.63651195542,7151,8269.58470833333,8031.5,2022-09-02
7808.17308622567,7188,8202.945625,8100.5,2022-09-01
7943.6826388627,7264,7609.02870833334,8041,2022-08-31
8021.09512069112,7213,7395.16152777778,8051,2022-08-30
8290.16343528126,7172,7763.32695833333,8020,2022-08-29
8139.08309770368,7198,7478.71259722222,7955,2022-08-26
8156.00294114814,7237,7518.25502777777,7992,2022-08-25
8234.54812971435,7211,7597.720875,7865.5,2022-08-24
8264.08926662153,7034.5,7599.93547222222,8065,2022-08-23
8143.4280642018,7005.5,7422.10837499999,8140,2022-08-22
8123.45239845861,7026,7537.48351388889,7976,2022-08-19
8114.85724075105,6940,7525.93291666667,7971.5,2022-08-18
8021.42244819657,6981,7608.25218055555,7835,2022-08-17
7956.99432225466,7031,9003.85698611111,7830.5,2022-08-16
8069.04932926159,6989.5,7535.086,7642,2022-08-15
8203.15149523889,7040,7593.30425,7774,2022-08-12
8308.78742071792,7083,7656.22791666666,7819,2022-08-11
8225.60471827245,7036,7677.66279166666,7930.5,2022-08-10
8161.38111331709,7052.5,7550.4846111111,7800.5,2022-08-09
8203.70331516571,7046,7467.68752777778,7712,2022-08-08
8115.91375187383,7097.5,8169.27669444445,7552,2022-08-05
8094.93588959991,7126,8176.72570833334,7591.5,2022-08-04
8162.58651993305,7132,7539.64165277777,7448,2022-08-03
8348.09163916183,7181,7987.13190277777,7372,2022-08-02
8335.15361893182,7227,7515.0735,7231.5,2022-08-01
8544.71029019244,7281,7843.86984722222,7371,2022-07-29
8467.02015053219,7262.5,8784.82231944445,7281.5,2022-07-28
8517.27550749659,7250,8527.32608333334,7320,2022-07-27
8441.37412134617,7211,8990.72906944445,7000,2022-07-26
8520.38020639458,7217.5,8687.88675,7216,2022-07-25
8437.77576895747,7190,8977.88620833334,7267,2022-07-22
8467.2960604956,7174,8993.89902777778,7370.5,2022-07-21
8716.01627622205,7222,8495.48252777778,7623,2022-07-20
8769.6846429491,7212.5,8165.47833333334,7790,2022-07-19
8719.48622237936,6956,8501.40652777778,7835,2022-07-18
8470.53476533746,7023,8139.91086111111,7525.5,2022-07-15
8410.39038068785,7026.5,8755.61087500001,7807,2022-07-14
8435.70812757437,7099,8786.52075000001,8036,2022-07-13
8395.95615432915,6972,8540.44733333334,7975.5,2022-07-12
8740.1482318202,7048,7939.35298611111,8245,2022-07-11
8705.41863504115,7010,8280.63108333333,8446,2022-07-08
8610.9540516928,7168,8302.71269444444,8502,2022-07-07
8427.84696012228,7207,7414.51558333334,8353,2022-07-06
8491.70233990846,7083,7436.26544444445,8280.5,2022-07-05
NA,7135,NA,8578,2022-07-04
8832.1625768939,7029,7832.44454166666,8729,2022-07-01
8736.67582557998,7032,8180.5708611111,9000,2022-06-30
